Name,Name (German),Director,Year,Image URL
Oppenheimer,-,Christopher Nolan,2023,https://www.themoviedb.org/t/p/original/ycnO0cjsAROSGJKuMODgRtWsHQw.jpg
The Lego Movie,-,Christopher Miller & Phil Lord,2014,https://image.tmdb.org/t/p/original/5N2mfRrvJUnCVpsMIebfosEyo1i.jpg
Alien,Alien - Das unheimliche Wesen aus einer fremden Welt,Ridley Scott,1979,https://image.tmdb.org/t/p/original/j2c9B1cfS3hqy6qQXLnQiB5Zku2.jpg
My Neighbor Totoro,Mein Nachbar Totoro,Hayao Miyazaki,1988,https://image.tmdb.org/t/p/original/nWpL5IeV5z0OCcyIgmLIsADODhE.jpg
Forrest Gump,-,Robert Zemeckis,1994,https://image.tmdb.org/t/p/original/mzfx54nfDPTUXZOG48u4LaEheDy.jpg
The Graduate,Die Reifeprüfung,Mike Nichols,1967,https://image.tmdb.org/t/p/original/28BDy7Zx2jiXJxNSHo4RT71YPSl.jpg
Oldboy,-,Park Chan-wook,2003,https://image.tmdb.org/t/p/original/lFM03YSz6KXf2R8MMgLPfHIqPth.jpg
North by Northwest,Der unsichtbare Dritte,Alfred Hitchcock,1959,https://image.tmdb.org/t/p/original/OR8oloCZ3klJtB7Y0i8pSqWw5a.jpg
Citizen Kane,-,Orson Welles,1941,https://image.tmdb.org/t/p/original/ruF3Lmd4A8MHbnEBE6lxPMbsHGL.jpg
M,M - Eine Stadt sucht einen Mörder,Fritz Lang,1931,https://image.tmdb.org/t/p/original/r8Un26Y8GhcIdtmVZVnUOccnHaj.jpg
